flight_price,time,distance,days,hotel_price_per_day,gender,age,trip_gap_days,total_trip_cost,from_Brasilia (DF),from_Campo Grande (MS),from_Florianopolis (SC),from_Natal (RN),from_Recife (PE),from_Sao Paulo (SP),to_Brasilia (DF),to_Campo Grande (MS),to_Florianopolis (SC),to_Natal (RN),to_Recife (PE),to_Rio de Janeiro (RJ),to_Salvador (BH),to_Sao Paulo (SP),flightType_firstClass,flightType_premium,agency_FlyingDrops,agency_Rainbow,place_Brasilia (DF),place_Campo Grande (MS),place_Florianopolis (SC),place_Natal (RN),place_Recife (PE),place_Rio de Janeiro (RJ),place_Salvador (BH),place_Sao Paulo (SP),company_Acme Factory,company_Monsters CYA,company_Umbrella LTDA,company_Wonka Company
630.34,1.02,392.76,3,139.1,1,21,0,1047.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1433.35,1.43,550.69,2,242.88,1,21,0,1919.11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
958.15,1.76,676.56,1,263.41,1,21,0,1221.56,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
832.77,1.39,535.4,3,60.39,1,21,0,1013.9399999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1484.94,2.05,788.55,4,263.41,1,21,0,2538.58,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
474.6,0.58,222.67,1,242.88,1,21,0,717.48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1242.65,2.05,788.55,1,263.41,1,21,0,1506.0600000000002,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
831.7,0.72,277.7,2,60.39,1,21,0,952.48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
730.43,1.02,392.76,3,139.1,1,21,0,1147.73,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1371.83,1.76,676.53,2,313.02,1,21,0,1997.87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
932.84,1.44,555.74,4,208.04,1,21,0,1765.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1214.82,1.11,425.98,4,208.04,1,21,0,2046.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
717.04,1.55,597.61,1,165.99,1,21,0,883.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
898.04,1.11,425.98,4,247.62,1,21,0,1888.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
726.19,1.43,550.69,4,242.88,1,21,0,1697.71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
588.14,1.02,392.76,3,139.1,1,21,0,1005.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
804.24,0.63,242.21,1,312.83,1,21,0,1117.07,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
630.34,1.02,392.76,1,139.1,1,37,0,769.44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
638.63,0.63,242.21,1,247.62,1,37,0,886.25,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
344.26,0.48,183.37,4,165.99,0,48,0,1008.22,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
743.54,1.69,650.1,3,60.39,0,48,0,924.7099999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
654.88,1.11,425.98,4,208.04,0,48,0,1487.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804.24,0.63,242.21,3,312.83,0,48,0,1742.73,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1389.37,1.69,650.1,2,60.39,0,48,0,1510.1499999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1242.65,2.05,788.55,1,263.41,0,48,0,1506.0600000000002,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
698.1,0.67,257.81,4,139.1,0,48,0,1254.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
743.54,1.69,650.1,4,60.39,0,48,0,985.0999999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
602.49,1.44,555.74,2,312.83,0,48,0,1228.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1723.71,2.16,830.86,2,263.41,0,48,0,2250.53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1174.97,2.1,808.85,4,313.02,0,48,0,2427.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1181.19,1.44,555.74,3,208.04,0,48,0,1805.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
793.15,1.39,535.4,2,60.39,0,48,0,913.93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
717.04,1.55,597.61,1,165.99,0,48,0,883.03,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1371.83,1.76,676.53,3,313.02,0,48,0,2310.89,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1214.82,1.11,425.98,2,208.04,0,48,0,1630.8999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1021.53,1.69,650.1,4,60.39,0,48,0,1263.09,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
697.22,0.63,242.21,2,247.62,0,48,0,1192.46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
563.71,1.39,535.4,2,60.39,0,48,0,684.49,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
633.71,0.58,222.67,3,242.88,0,48,0,1362.35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
965.62,1.11,425.98,2,208.04,0,48,0,1381.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1116.83,1.69,650.1,3,60.39,0,48,0,1298.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
932.84,1.44,555.74,3,208.04,0,48,0,1556.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750.0,0.67,257.81,2,139.1,0,48,0,1028.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1723.71,2.16,830.86,4,263.41,0,48,0,2777.3500000000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
884.94,1.66,637.56,4,313.02,0,48,0,2137.02,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1222.24,1.66,637.56,3,313.02,0,48,0,2161.3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1582.41,2.1,808.85,2,313.02,0,48,0,2208.45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
539.39,0.48,183.37,2,165.99,0,48,0,871.37,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
663.23,1.44,555.74,3,208.04,0,48,0,1287.35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
921.08,1.76,676.56,3,263.41,0,48,0,1711.31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
604.14,1.44,555.74,1,312.83,0,48,0,916.97,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
889.07,1.66,637.56,2,313.02,0,48,0,1515.1100000000001,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
943.36,2.16,830.86,1,263.41,0,48,0,1206.77,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
755.62,1.11,425.98,3,247.62,0,48,0,1498.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1067.3,1.43,550.69,4,242.88,0,48,0,2038.82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1569.65,1.66,637.56,2,313.02,0,23,0,2195.69,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
889.07,1.66,637.56,3,313.02,0,23,0,1828.13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1070.54,1.76,676.53,2,313.02,0,23,0,1696.58,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1434.38,1.76,676.53,2,313.02,0,23,0,2060.42,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
439.38,0.63,242.21,4,247.62,0,23,0,1429.8600000000001,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1074.75,1.76,676.53,1,313.02,0,23,0,1387.77,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1183.57,1.55,597.61,1,165.99,0,23,0,1349.56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
602.49,1.44,555.74,4,312.83,0,23,0,1853.81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
432.1,0.63,242.21,2,312.83,0,23,0,1057.76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
793.15,1.39,535.4,2,60.39,0,23,0,913.93,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1499.93,2.1,808.85,1,313.02,0,23,0,1812.95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1433.35,1.43,550.69,2,242.88,0,23,0,1919.11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
851.15,0.72,277.7,3,60.39,0,23,0,1032.32,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
586.04,0.48,183.37,2,165.99,0,23,0,918.02,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
726.19,1.43,550.69,2,242.88,0,23,0,1211.95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
474.6,0.58,222.67,1,242.88,0,23,0,717.48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
670.13,1.26,486.52,1,139.1,0,23,0,809.23,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
691.39,0.63,242.21,1,312.83,0,23,0,1004.22,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1069.12,1.39,535.4,1,60.39,0,23,0,1129.51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
921.08,1.76,676.56,1,263.41,0,23,0,1184.49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
669.83,0.58,222.67,4,242.88,0,23,0,1641.35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
835.21,1.44,555.74,3,312.83,0,23,0,1773.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
513.06,1.26,486.52,3,139.1,0,23,0,930.3599999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1268.97,1.76,676.56,3,263.41,0,23,0,2059.2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1387.89,1.69,650.1,1,60.39,0,23,0,1448.2800000000002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
301.51,0.58,222.67,4,242.88,0,23,0,1273.03,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1174.97,2.1,808.85,3,313.02,0,23,0,2114.0299999999997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
535.95,0.46,176.33,2,242.88,0,23,0,1021.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
410.79,1.02,392.76,2,139.1,0,23,0,688.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1270.03,2.3,885.57,3,165.99,0,23,0,1768.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
598.61,0.46,176.33,1,242.88,0,23,0,841.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
649.64,0.48,183.37,3,165.99,0,23,0,1147.6100000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
717.04,1.55,597.61,3,165.99,0,23,0,1215.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
721.2,1.11,425.98,3,208.04,0,23,0,1345.3200000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
393.68,0.63,242.21,1,247.62,0,23,0,641.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
474.6,0.58,222.67,1,242.88,0,23,0,717.48,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
992.17,0.67,257.81,1,139.1,0,23,0,1131.27,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
772.21,0.63,242.21,3,312.83,0,23,0,1710.7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1038.95,1.39,535.4,4,60.39,0,23,0,1280.51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
869.13,2.1,808.85,4,313.02,0,23,0,2121.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1242.65,2.05,788.55,2,263.41,0,23,0,1769.4700000000003,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
852.18,2.1,808.85,2,313.02,0,23,0,1478.2199999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
615.59,1.39,535.4,2,60.39,0,23,0,736.37,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
698.1,0.67,257.81,3,139.1,0,23,0,1115.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
535.95,0.46,176.33,4,242.88,0,23,0,1507.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1723.71,2.16,830.86,4,263.41,0,23,0,2777.3500000000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
432.1,0.63,242.21,4,312.83,0,23,0,1683.42,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1038.95,1.39,535.4,4,60.39,0,23,0,1280.51,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
545.95,1.26,486.52,3,139.1,0,23,0,963.25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1260.1,1.11,425.98,1,208.04,0,23,0,1468.1399999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474.6,0.58,222.67,2,242.88,0,23,0,960.36,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1249.83,2.05,788.55,1,263.41,0,23,0,1513.24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1684.05,2.16,830.86,3,263.41,0,23,0,2474.2799999999997,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
832.77,1.39,535.4,3,60.39,0,23,0,1013.9399999999999,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1499.93,2.1,808.85,2,313.02,0,23,0,2125.9700000000003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
930.12,1.55,597.61,2,165.99,0,23,0,1262.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
488.73,0.58,222.67,2,242.88,0,23,0,974.49,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
875.41,1.44,555.74,1,312.83,0,23,0,1188.24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1389.37,1.69,650.1,2,60.39,0,23,0,1510.1499999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
712.64,1.55,597.61,1,165.99,0,23,0,878.63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
602.49,1.44,555.74,2,312.83,0,44,0,1228.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
421.2,0.63,242.21,4,312.83,0,44,0,1672.52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
421.2,0.63,242.21,3,312.83,0,44,0,1359.69,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1685.23,1.76,676.56,3,263.41,0,44,0,2475.46,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
965.62,1.11,425.98,2,208.04,0,44,0,1381.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1612.39,2.3,885.57,1,165.99,0,44,0,1778.38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
992.17,0.67,257.81,2,139.1,0,44,0,1270.37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1389.37,1.69,650.1,2,60.39,0,44,0,1510.1499999999999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
852.18,2.1,808.85,1,313.02,0,44,0,1165.1999999999998,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
440.69,0.48,183.37,3,165.99,0,44,0,938.6600000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
832.77,1.39,535.4,2,60.39,0,44,0,953.55,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
663.23,1.44,555.74,1,208.04,0,44,0,871.27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
954.78,1.26,486.52,4,139.1,0,44,0,1511.1799999999998,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1371.83,1.76,676.53,4,313.02,0,44,0,2623.91,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
987.07,1.11,425.98,4,208.04,0,44,0,1819.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1351.89,2.3,885.57,1,165.99,0,44,0,1517.88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1189.32,1.66,637.56,4,313.02,0,44,0,2441.3999999999996,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
513.06,1.26,486.52,2,139.1,0,44,0,791.26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
586.04,0.48,183.37,4,165.99,0,44,0,1250.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1242.65,2.05,788.55,2,263.41,0,44,0,1769.4700000000003,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1706.89,2.3,885.57,1,165.99,0,44,0,1872.88,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1515.79,2.1,808.85,2,313.02,0,44,0,2141.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
